temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,generated_power_kw
5.76,35,1038.4,0,0,0,0,0,0,104.13,5.5,211.61,5.01,68.96,4.1,74.74,9,32.981515,68.685423,152.10722,2143.0744
8.47,40,1037.1,0,0,0,0,0,0,250.09,1.8,233.13,5.15,65.22,4.35,65.56,5.4,22.656758,64.669873,166.49739,2436.7275
11.34,33,1035.3,0,0,0,0,0,0,366.68,2.9,29.74,4.07,45,4.07,45,7.2,18.896941,63.506526,181.78886,2534.3489
12.25,29,1034.3,0,0,0,0,0,0,435.21,7.79,33.69,8.44,39.81,8.44,39.81,9,24.669091,65.351595,196.95568,2477.8934
12.6,30,1033.5,0,0,0,0,0,0,455.68,9.51,29.48,10.19,32.01,10.19,32.01,9,35.787961,69.961609,211.03516,2206.8945
12.66,31,1033.5,0,0,0,0,0,0,425.42,6.7,36.25,7.15,40.91,7.15,40.91,6.84,48.693732,76.817213,223.55205,1040.8729
12.4,33,1032.7,0,0,0,0,0,0,345.32,7.59,31.43,8.29,34.38,8.29,34.38,6.48,62.033585,85.180199,234.45672,93.423875
1.92,73,1034.2,0,0,0,0,0,0,0,15.48,178.67,31.7,178.05,21.25,178.06,22.32,59.11072,83.218833,127.75963,425.30454
1.51,80,1035.2,0,0,0,0,0,0,1.78,15.86,177.4,32.47,176.19,22.73,176.37,21.96,45.676492,75.034084,139.09168,1355.1012
4.38,76,1034.8,0,0,0,0,0,0,106.8,15.5,177.34,29.63,175.12,20.21,175.91,15.84,33.017211,68.62586,151.96007,2122.2185
7.8,67,1032.8,0,0,0,0,0,0,255.43,16.24,176.19,20.91,177.04,18.03,176.57,10.44,22.630859,64.583818,166.3621,2430.8578
10.07,58,1031.7,0,0,0,0,0,0,372.91,14.47,174.29,17.02,173.93,15.23,173.21,9,18.782814,63.395723,181.67644,2549.7753
12.65,38,1028,0,0,0,0,0,0,440.55,4.69,147.53,5.4,143.13,5.4,143.13,3.96,24.520556,65.22152,196.87383,2505.5434
13.28,39,1027.2,0,0,0,0,0,0,462.8,4.83,116.57,5.8,119.74,5.5,121.61,6.12,35.647353,69.819392,210.98459,2236.1667
13.36,42,1027.2,0,0,0,0,0,0,431.65,5.35,109.65,6.92,117.9,6.44,116.57,7.92,48.566224,76.669341,223.52814,1079.7043
12.68,49,1027.5,0,0,0,0,0,0,350.66,5.69,124.7,7.15,130.91,6.64,130.6,9.36,61.921788,85.035625,234.45328,97.017519
0.62,45,1031.7,0,0,0,0,0,0,0,7.7,217.41,5.24,285.95,9.45,220.36,6.12,59.194427,83.19827,127.6062,445.47816
0.82,44,1031.9,0,0,4,0,4,0,1.78,7.65,228.81,7.17,287.53,11.48,221.19,11.16,45.760553,75.002668,138.9187,1411.1547
3.32,45,1032.3,0,0,44,0,44,0,113.92,5.19,236.31,9.39,302.47,6.11,225,10.08,33.020593,68.547439,151.84501,2212.9796
7.06,47,1030.9,0,0,15,0,15,0,264.33,3.32,319.4,7.39,316.97,2.62,344.05,7.92,22.599143,64.49038,166.22665,2522.2383
9.36,34,1029.1,0,0,39,0,39,0,378.25,7.73,332.24,8.85,333.43,7.75,338.2,9,18.662127,63.277688,181.56566,2625.5014
8.86,41,1026.8,0,0,0,0,0,0,447.67,10.08,360,10.46,3.95,9.78,6.34,11.88,24.367718,65.0847,196.79534,2577.2011
9.23,42,1027.1,0,0,0,0,0,0,469.03,10.5,5.91,10.54,7.85,10.24,10.12,12.6,35.504891,69.671158,210.93869,2283.7003
9.21,44,1027,0,0,0,0,0,0,436.99,10.95,9.46,11.01,11.31,10.31,12.09,12.6,48.438368,76.516256,223.50976,1086.2028
8.64,48,1027,0,0,0,0,0,0,356,9.53,10.89,9.61,12.99,9.26,13.5,11.52,61.810516,84.886424,234.45592,103.20437
-2,99,1036.6,0,0,0,0,0,0,0,7.65,221.19,3.62,95.71,8.4,226.74,10.08,59.16669,83.099158,127.53295,455.91293
-1.77,92,1037,0,0,0,0,0,0,1.78,9.18,228.18,2.28,198.43,10.09,235.18,3.24,45.82124,74.953937,138.7627,1417.3211
0.78,81,1037.1,0,0,0,0,0,0,107.69,6.92,231.34,3.83,228.81,6.44,243.43,1.8,32.972619,68.437019,151.77289,2224.3277
4.01,70,1036.3,0,0,0,0,0,0,255.43,4.02,243.43,3.55,246.04,4.55,251.57,6.48,22.528242,64.378984,166.15308,2549.8831
6.32,62,1035.1,0,0,0,0,0,0,373.8,1.3,326.31,1.14,341.57,1.61,333.43,4.32,18.53492,63.15247,181.45661,2637.6611
8.03,45,1030.6,0,0,0,0,0,0,449.45,6.19,35.54,6.41,38.16,6.13,40.24,8.64,24.210671,64.941199,196.72028,2567.6217
8.93,42,1030.1,0,0,0,0,0,0,473.48,8.37,25.46,8.53,27.65,8.05,26.57,9.72,35.360702,69.516981,210.89752,2293.5854
9.11,43,1030.5,0,0,0,0,0,0,443.22,10.59,17.82,10.59,17.82,10.14,16.5,10.08,48.310286,76.358042,223.49696,1167.8618
8.46,47,1030.6,0,0,0,0,0,0,363.12,10.37,20.32,10.7,19.65,10.37,20.32,9.72,61.69987,84.732679,234.46465,114.485
-0.48,56,1041.5,0,0,0,0,0,0,0,7.9,226.85,7.15,229.09,7.7,232.59,7.56,59.354669,83.137905,127.28859,473.56029
-0.38,49,1042.1,0,0,0,0,0,0,2.67,7.9,226.85,7.73,242.24,8.05,243.43,7.92,45.878645,74.898324,138.60401,1441.6025
1.6,43,1042.8,0,0,0,0,0,0,111.25,6.99,214.51,7.29,237.09,6.99,235.49,4.68,34.916885,69.198913,149.40834,2175.1235
1.52,38,1046.8,0,0,0,0,0,0,0,10.32,209.25,15.99,187.77,15.55,174.69,11.52,59.459979,83.117524,127.1029,487.39034
2.2,34,1046.6,0,0,0,0,0,0,1.78,10.5,202.17,18.72,180,21.22,165.26,12.6,45.932756,74.835838,138.4427,1394.0949
4.7,34,1046.6,0,0,0,0,0,0,105.91,10.48,195.95,18.72,181.1,22.73,169.05,15.12,33.116754,68.315482,151.3552,2183.2921
8.01,38,1045.1,0,0,0,0,0,0,253.65,7.57,182.73,11.89,178.26,20.72,162.82,9.72,22.469629,64.166111,165.8201,2499.1097
10.59,33,1044,0,0,0,0,0,0,372.91,5.96,154.98,7.9,155.77,8.05,153.43,7.56,18.261132,62.88069,181.24394,2675.5011
12.3,48,1042.4,0,0,0,0,0,0,453.9,9.45,17.74,10.46,26.57,10.95,27.41,14.04,23.884365,64.634418,196.58075,2568.4284
12.29,50,1042.1,0,0,0,0,0,0,477.04,11.17,20.77,11.97,21.16,12.1,22.75,15.48,35.067678,69.191119,210.82967,2246.8706
12,52,1042.2,0,0,0,0,0,0,447.67,11.38,18.43,12.1,22.75,12.25,24.3,14.4,48.057721,76.028957,223.49136,1169.1853
11.88,52,1041.9,0,0,0,0,0,0,367.57,10.16,22.93,11.27,26.57,11.44,28.18,13.32,61.594298,84.485894,234.58905,115.48638
3.45,26,1042.3,0,0,0,0,0,0,0,10.23,230.71,13.68,270,13.68,268.49,12.96,59.505047,83.05182,126.95723,506.59034
3.47,31,1041.4,0,0,0,0,0,0,2.67,8.71,231.71,10.14,286.5,10.7,289.65,14.4,45.983564,74.76649,138.27885,1437.5185
6.18,41,1041.2,0,0,0,0,0,0,111.25,5.69,251.57,11.11,294.9,11.75,297.35,9,33.120046,68.216158,151.215,2222.6927
9.49,40,1040,0,0,0,0,0,0,263.44,2.62,285.95,10.7,312.27,11.46,313.73,6.12,22.415204,64.043501,165.68476,2533.2102
12.46,36,1038.8,0,0,0,0,0,0,384.48,3.4,327.99,5.32,331.7,5.32,331.7,6.12,18.108999,62.732777,181.05875,2627.5657
14.32,27,1032.5,0,0,0,0,0,0,462.8,6.88,276.01,7.59,275.44,6.88,276.01,7.92,23.715326,64.47128,196.51641,2554.7255
15.06,26,1034.2,0,0,0,0,0,0,487.72,7.1,329.53,8.21,322.13,7.99,324.16,6.48,34.919123,69.0196,210.80309,2281.9892
14.87,26,1033.3,0,0,0,0,0,0,456.57,14.04,358.53,16.22,357.46,15.48,358.67,13.68,47.925942,75.853518,223.49251,1107.7147
13.49,33,1034.9,0,0,0,0,0,0,374.69,9.03,355.43,10.08,360,9.73,2.12,11.16,61.372756,84.245064,234.52776,130.56522
0.83,78,1035.4,0,0,0,0,0,0,0,7.59,275.44,12.82,321.84,10.66,281.69,14.76,59.576432,82.999117,126.78663,33.746162
1.42,81,1034.2,0,0,76,0,76,0,2.67,7.07,284.74,14.11,322.25,9.78,276.34,15.12,46.031062,74.690298,138.11256,335.80854
5.24,71,1033.7,0,0,43,0,43,0,113.03,6.99,348.11,17.11,351.53,9.5,335.38,14.76,33.140946,68.117352,151.04407,2133.7886
7.68,68,1035,0,0,23,0,23,0,262.55,12.24,360,13.34,3.09,12.61,1.64,16.2,22.385128,63.923728,165.50514,2506.0048
8.16,68,1033.3,0,0,2,0,0,2,375.58,15.28,15.02,16.33,14.04,15.19,13.71,20.88,17.952533,62.578322,181.16953,2555.6055
8.66,67,1033.3,0,0,57,0,57,10,450.34,20.43,14.28,22.35,14.93,20.87,15,23.4,23.542523,64.301741,196.45579,2361.4471
8.87,71,1034.2,0,0,34,0,34,3,468.14,18.89,7.67,20.01,8.28,18.94,8.75,22.68,34.769401,68.842473,210.7815,2239.379
9.01,70,1033.6,0,0,1,0,1,0,441.44,12.68,6.52,13.08,7.91,12.73,8.13,14.4,47.798229,75.675693,223.50249,1209.1943
9.08,69,1031.9,0,0,0,0,0,0,365.79,15.28,15.02,16.33,14.04,14.84,14.04,16.56,61.265693,84.074051,234.56117,116.31498
-0.13,93,1036.2,0,0,0,0,0,0,0,15.23,186.79,32.5,175.55,21.99,182.82,24.84,59.64523,82.939972,126.61287,503.15395
-0.2,94,1036.6,0,0,0,0,0,0,2.67,18.09,185.71,34.99,176.46,23.8,183.47,25.56,46.075248,74.60728,137.9439,1400.0511
2.91,84,1036,0,0,0,0,0,0,107.69,19.08,180,29.22,176.47,23.41,178.24,24.84,33.146766,68.007658,150.8866,2166.6904
5.95,73,1034.2,0,0,0,0,0,0,255.43,21.25,178.06,27.4,176.99,23.42,177.36,21.6,22.289876,63.776773,165.41479,2542.4739
8.24,64,1032.7,0,0,0,0,0,0,374.69,20.28,173.88,24.61,174.12,21.75,173.35,19.8,17.800296,62.419861,181.04397,2677.5709
10.28,44,1029.3,0,0,0,0,0,0,457.46,13.98,168.11,16.1,169.7,14.26,169.82,9.72,23.366081,64.125882,196.39896,2607.0784
10.75,45,1029.1,0,0,0,0,0,0,480.6,16.74,161.18,19.59,162.9,17.08,161.57,14.4,34.618664,68.659827,210.76496,2304.9839
10.63,44,1028.7,0,0,0,0,0,0,450.34,21.31,164.32,25.23,165.96,20.87,165,18.72,47.670941,75.493205,223.51827,1244.6791
9.72,48,1029.1,0,0,0,0,0,0,371.13,22.1,167.77,26.83,168.39,21.67,168.5,20.88,61.159809,83.898968,234.60081,135.79522
-0.97,67,1029.2,0,0,0,0,0,0,0,13.32,218.42,24.97,245.28,15.78,214.78,28.08,59.711404,82.874387,126.43606,445.91228
-1.12,73,1030.2,0,0,0,0,0,0,2.67,14.51,223.99,26.21,249.08,15.58,220.31,27.36,46.116121,74.517462,137.77297,1353.1714
2.55,63,1029,0,0,0,0,0,0,110.36,12.31,232.13,25.28,252.6,10.69,225,31.32,33.148459,67.890934,150.72797,2127.6647
7.45,52,1026.1,0,0,0,0,0,0,260.77,12.56,242.7,17.32,249.3,10.38,236.31,24.12,22.219137,63.632764,165.2803,2437.0792
10.78,38,1024.3,0,0,0,0,0,0,380.03,21.32,258.31,26.41,259,21.05,257.15,32.04,17.637551,62.253394,180.84246,2568.2777
12.61,31,1023.7,0,0,0,0,0,0,453.01,22.31,259.78,26.05,258.85,22.38,258.87,32.76,23.18615,63.943789,196.34598,2350.5334
12.67,32,1023.2,0,0,0,0,0,0,477.04,22.7,255.3,26.9,254.48,22.8,254.43,32.76,34.467074,68.471763,210.75351,968.71618
12.57,34,1022.4,0,0,35,2,35,0,452.12,21.22,255.26,25.42,254.39,21.66,254.58,31.68,47.544217,75.306158,223.53989,233.24195
12.09,37,1022.3,0,0,95,26,95,0,373.8,21.54,260.38,25.7,258.69,21.32,258.31,31.32,61.055217,83.719925,234.64669,40.214319
3.69,97,1027.4,0.1,0,100,0,0,100,0,10.44,313.6,16.8,315,12.23,312.61,15.84,59.774919,82.802362,126.25627,480.82352
3.03,98,1027.7,0.1,0,100,0,0,100,2.67,7.79,303.69,12.39,305.54,6.99,304.51,21.6,46.153679,74.420858,137.59984,1400.3916
4.92,82,1027.1,0,0,100,0,0,100,108.58,5.8,299.74,6.29,293.63,4.83,296.57,19.44,33.14606,67.767205,150.56824,2190.3046
5.93,76,1027.6,0,0,40,0,0,40,258.1,3.32,282.53,3.26,276.34,2.9,277.13,18,22.143084,63.481713,165.14625,2537.5603
7.28,69,1026.3,0,0,47,0,0,47,381.81,2.6,236.31,2.81,230.19,2.55,225,16.2,17.466135,62.079493,180.74748,2689.5167
9.45,65,1025.4,0,0,4,0,0,4,457.46,3.98,354.81,3.67,348.69,3.62,354.29,14.04,23.002835,63.755529,196.29693,2590.2565
10.17,62,1024.3,0,0,29,0,0,29,412.07,2.55,315,3.4,302.01,2.81,309.81,13.68,34.314784,68.278362,210.74723,2268.1099
10.88,58,1023.6,0,0,10,0,0,10,355.11,5.41,266.19,6.13,266.63,5.41,266.19,15.84,47.393687,75.101325,223.54443,1249.0877
11.03,59,1022.8,0,0,100,0,0,100,284.8,5.62,230.19,6.64,229.4,6.11,225,15.84,60.952041,83.537027,234.69882,143.9723
10.88,60,1022.6,0,0,83,0,0,83,225.17,7.07,194.74,8.05,190.3,7.64,188.13,16.2,106.69672,120.23022,215.21543,16.101307
0.79,93,1020.6,0,0,1,0,0,1,0,20.18,195.52,35.6,204.49,22.96,193.6,34.92,59.83574,82.723909,126.07362,491.01385
2.61,91,1019.1,0,0,8,0,8,1,3.56,23.22,199,37.54,204.35,26.18,198.43,33.84,46.187931,74.317509,137.42462,589.7025
5.84,77,1018.4,0,0,36,0,36,1,121.04,30.49,202.93,41.38,206.34,32.57,203.45,40.68,33.139627,67.636531,150.40752,1522.622
7.08,71,1017.3,0,0,0,0,0,0,268.78,30.92,207.76,39.03,209.88,32.04,207.43,42.48,22.061843,63.323701,165.0127,690.96898
8.51,64,1015.3,0,0,13,22,13,0,386.26,30.57,212.01,36.75,214.62,31.06,212.22,42.84,17.288684,61.898913,180.65482,291.16097
8.96,55,1015.2,0,0,100,100,100,0,389.82,28.4,210.47,33.35,212.66,29.02,209.74,42.12,22.816323,63.56121,196.25188,177.40503
9.17,53,1013.9,0,0,100,100,100,0,395.16,29.27,211.93,34.25,213.86,29.7,210.61,43.92,34.161975,68.07974,210.74617,156.05012
7,69,1013.6,0,0,100,100,100,0,186.9,29.39,210.96,37.75,212.93,30.81,210.16,45,47.29302,74.918788,223.6008,123.7152
7.01,74,1013.3,0,0,100,100,100,0,107.69,28.66,206.89,36.89,208.57,29.95,205.64,45.36,60.736301,83.273945,234.67098,17.422826
-2.16,94,1016.2,0,0,56,0,0,56,0,31.26,302.77,41.56,301.9,35.57,301.76,35.28,60.008276,82.715518,125.80142,162.85673
-3.41,97,1016.9,0,0,3,0,0,3,3.56,23.34,296.57,33.65,296.02,28.02,295.91,28.44,46.218879,74.207441,137.24737,1416.8051
-0.57,75,1017.2,0,0,0,0,0,0,118.37,24.93,287.65,26.76,287.22,25.73,287.93,27,33.129206,67.498954,150.24586,1549.9781
1.54,62,1016.2,0,0,0,0,0,0,271.45,22.91,278.13,23.68,278.75,23.27,278,25.2,21.879876,63.12744,165.03328,1717.2196
2.77,57,1015.7,0,0,12,0,12,0,392.49,25.96,273.18,27.04,273.05,26.3,272.35,32.4,17.105247,61.711725,180.56453,1463.1401
1.86,69,1016.5,0,0,10,0,0,10,299.93,42.33,303.55,43.33,303.82,41.04,303.55,45.36,22.626764,63.360918,196.2109,774.13052
2.72,63,1016,0,0,10,0,0,10,469.92,43.53,304.22,44.83,304.2,42.53,303.96,46.08,34.00882,67.875998,210.75038,202.27496
2.62,68,1016.3,0,0,2,0,0,2,379.14,42.24,302.47,43.66,301.86,40.95,302.43,45,47.168844,74.718691,223.64017,332.33587
2.5,73,1017.1,0,0,100,0,46,100,386.26,41.14,302.86,42.55,302.21,39.84,302.83,43.92,60.750413,83.160134,234.8219,177.91597
-5.35,82,1028.9,0,0,0,0,0,0,0,15.94,276.48,26.49,301.1,17.02,276.07,18.72,59.962798,82.557387,125.6905,553.33489
-4.92,84,1028.8,0,0,0,0,0,0,3.56,14.83,275.57,25.68,301.24,17.16,279.66,19.08,46.24653,74.090688,137.06821,1457.4705
-1.68,75,1028.2,0,0,0,0,0,0,119.26,14,287.97,19.8,297.03,15.38,286.31,17.64,33.114848,67.354523,150.08337,2219.2605
1.3,61,1026.6,0,0,0.3,1,0,0,272.34,18.2,294.54,18.51,296.57,19.01,294.62,21.24,21.884109,62.98702,164.74744,2595.2027
2.34,59,1025.8,0,0,0.3,1,0,0,398.72,20.77,297.9,20.95,298.77,20.14,298.86,22.32,16.915904,61.518011,180.47672,2724.477
4.5,31,1024.7,0,0,0,0,0,0,478.82,7.79,303.69,7.9,300.07,7.1,300.47,11.88,22.434327,63.15475,196.17407,2668.6514
5.21,27,1023.4,0,0,0,0,0,0,504.63,7.63,289.29,7.42,284.04,6.29,283.24,12.6,33.855504,67.667245,210.75993,2415.1739
5.6,26,1022.8,0,0,61,8,61,0,477.93,8.05,280.3,7.57,272.73,6.85,273.01,13.32,47.045819,74.514472,223.68551,1160.2291
5.58,27,1022.2,0,0,100,0,100,0,394.27,9.01,267.71,9.11,260.91,8.4,260.13,14.4,60.652214,82.966378,234.89287,127.90982
-0.93,89,1014.9,0.2,0,100,0,100,100,0,46.8,180.44,53.02,183.5,46.8,180,41.04,59.77182,82.296286,125.68362,7.6198024
-0.64,88,1014.1,0.2,0,100,0,100,100,2.67,46.44,180,52.6,182.35,45.72,180,51.12,46.270887,73.967285,136.88722,164.66754
0.34,84,1014.5,0.2,0,100,0,44,100,68.53,48.24,180,51.84,180.8,47.16,179.56,37.44,33.127877,67.218269,149.88763,315.74279
1.02,80,1013.8,0.1,0,100,0,0,100,187.79,48.24,180,50.77,180.81,47.16,180,42.12,21.787798,62.808486,164.61589,316.44196
1.62,77,1012.5,0.1,0,100,0,0,100,295.48,46.81,181.32,48.99,182.11,46.45,181.33,41.04,16.729554,61.320051,180.38464,870.24529
1.22,77,1012.7,0,0,100,0,0,100,205.59,45.01,172.65,47.47,173.47,45.01,172.65,40.32,22.239193,62.942805,196.14147,902.17283
1.82,76,1012.5,0,0,60,0,0,60,382.7,42.34,174.14,44.46,174.89,42.34,174.14,39.24,33.702217,67.453595,210.77488,357.74893
2.5,76,1012,0,0,100,0,0,100,373.8,40.06,175.88,41.84,176.55,40.06,175.88,38.88,46.924101,74.30625,223.73688,125.95566
1.83,81,1010.4,0,0,100,0,0,100,201.14,37.65,173.96,40.16,174.34,38.05,173.48,35.28,60.555932,82.76925,234.97013,25.226724
-3.59,94,1015.8,0,0,94,0,0,94,4.45,45.67,20.29,55.5,22.91,46.01,20.14,56.88,44.277769,72.675565,138.49077,0.060569106
-3.08,94,1017.7,0,0.07,100,0,0,100,121.04,42.18,15.34,47.93,17.48,41.84,15.47,55.8,33.074579,67.045387,149.75625,19.060523
-2.18,92,1017,0,0.07,88,0,0,88,225.17,46.33,18.58,49.64,19.49,45.65,18.86,57.24,21.686838,62.62334,164.48521,155.21215
-1.2,79,1016.2,0,0,10,0,0,10,308.83,48.55,23.14,52.53,24.28,48.36,23.7,58.32,16.52021,61.111442,180.3088,1137.9982
0.05,68,1016.3,0,0,10,0,0,10,472.59,40.38,21.99,42.92,22.69,39.85,22.86,51.84,22.041724,62.72528,196.11313,2176.6919
0.81,64,1015.9,0,0,10,0,0,10,496.62,39.39,18.1,41.9,19.06,38.71,18.43,49.32,33.549205,67.235237,210.79523,2204.0698
1.29,62,1016,0,0,10,0,0,10,467.25,36.36,11.42,39.05,12.24,36.08,12.09,44.28,46.803868,74.094203,223.79425,1544.6314
1.51,64,1015.3,0,0,10,0,0,10,374.69,33.99,5.47,36.97,6.71,34.11,7.28,42.84,60.461693,82.568901,235.05367,226.21317
-1.95,91,1013.5,0,0,100,0,0,100,0,8.59,236.98,12.96,271.59,8.67,228.37,12.96,60.213583,82.312955,125.03395,480.20512
-1.24,79,1012.5,0,0,100,0,0,100,2.67,12.5,258.37,18.36,268.88,12.57,256.76,15.48,46.309746,73.700679,136.52016,568.66697
-2.19,86,1013.8,0,0.07,100,0,0,100,48.06,14.69,281.31,13.08,277.91,11.9,273.47,14.76,33.048672,66.880642,149.5917,639.75016
-1.85,86,1013.6,0.1,0.28,100,0,0,100,105.02,13.83,308.66,13.28,310.6,12.5,311.5,14.04,21.580768,62.43138,164.35537,705.53718
-0.86,87,1012.3,0.1,0.42,100,0,0,100,168.21,17.48,327.62,18.4,329.42,17.91,329.83,18,16.313284,60.898566,180.22888,709.37222
0.86,81,1010.6,0.2,0.07,100,0,17,100,217.16,11.02,321.63,11.38,325.3,10.88,325.78,16.56,21.841608,62.502006,196.08925,595.21168
1.82,76,1010.2,0.1,0,100,0,10,100,416.52,13.76,317.12,12.48,316.17,12.23,317.39,15.84,33.396534,67.012071,210.82121,288.75358
2.28,78,1009.6,0,0,100,0,0,100,311.5,17.38,320.04,17.85,318.27,17.34,318.37,18.72,46.68524,73.878297,223.85783,120.28781
2.12,81,1010.5,0,0,100,0,47,100,338.2,21.18,328.2,20.87,327.68,20.07,327.45,23.4,60.174983,82.235384,234.99589,54.593671
2.3,85,1010.1,0,0.14,100,0,53,100,210.93,25.74,339.54,26.64,341.08,25.5,341.05,27.72,107.16705,119.3571,215.04426,10.725232
-4.36,96,1017.1,0,0,19,0,0,19,0,19.96,309.14,28.28,317.58,20.63,312.88,26.28,60.142185,82.118766,124.92334,176.33224
-3.85,91,1016.6,0,0,13,0,0,13,5.34,23.4,300.51,33.34,307.98,22.37,303.18,31.32,48.078984,74.66776,135.32166,555.61982
1.18,80,1013.9,0,0,2,0,0,2,309.72,41.25,302.16,43.24,302.76,40.45,302.28,45.72,16.671723,60.815986,186.61222,487.8004
